lon,lat,vs30,z1pt0,z2pt5,vs30measured
91.21260,22.99060,2.120000E+02,5.058215E+02,2.614480E+00,0
91.07780,23.02620,2.210000E+02,5.027852E+02,2.493038E+00,0
91.15640,22.61920,2.140000E+02,5.051768E+02,2.586546E+00,0
91.04870,22.80830,1.930000E+02,5.111440E+02,2.910959E+00,0
92.23710,23.38280,3.180000E+02,4.439242E+02,1.644133E+00,0
92.34610,22.83090,4.660000E+02,2.713905E+02,1.061891E+00,0
92.01220,22.62340,3.580000E+02,4.046382E+02,1.435725E+00,0
92.48310,22.25740,5.520000E+02,1.703273E+02,8.748534E-01,0
92.20160,22.46230,4.860000E+02,2.461007E+02,1.012049E+00,0
92.45540,22.55930,5.940000E+02,1.308543E+02,8.044552E-01,0
92.21660,22.97000,6.000000E+02,1.258340E+02,7.952589E-01,0
92.07260,22.83360,6.000000E+02,1.258340E+02,7.952589E-01,0
92.24450,22.37150,4.770000E+02,2.573974E+02,1.033924E+00,0
92.20130,22.64510,6.000000E+02,1.258340E+02,7.952589E-01,0
90.14080,23.93890,2.110000E+02,5.061375E+02,2.628660E+00,0
90.10840,23.60150,2.350000E+02,4.973381E+02,2.323871E+00,0
90.34360,23.69430,2.250000E+02,5.013212E+02,2.442400E+00,0
90.16080,23.67240,2.340000E+02,4.977577E+02,2.335235E+00,0
90.28050,23.87990,2.060000E+02,5.076559E+02,2.701777E+00,0
90.40510,23.71800,2.280000E+02,5.001754E+02,2.405670E+00,0
90.39370,23.71700,2.730000E+02,4.776071E+02,1.957688E+00,0
90.48240,23.72290,2.220000E+02,5.024259E+02,2.480195E+00,0
90.37540,23.74630,2.220000E+02,5.024259E+02,2.480195E+00,0
90.42240,23.70610,2.440000E+02,4.933413E+02,2.226074E+00,0
90.36700,23.73550,3.340000E+02,4.292074E+02,1.554346E+00,0
90.44940,23.71210,2.210000E+02,5.027852E+02,2.493038E+00,0
90.45050,23.68840,2.410000E+02,4.947182E+02,2.257803E+00,0
90.38620,23.74770,2.210000E+02,5.027852E+02,2.493038E+00,0
90.36910,23.71880,2.250000E+02,5.013212E+02,2.442400E+00,0
90.45680,23.76050,2.200000E+02,5.031400E+02,2.506006E+00,0
90.40800,23.70980,2.680000E+02,4.806436E+02,1.999527E+00,0
90.38350,23.72310,2.680000E+02,4.806436E+02,1.999527E+00,0
